Zone;Année;Valeur
Afghanistan;2017;10500000
Afrique du Sud;2017;3100000
Albanie;2017;100000
Algérie;2017;1300000
Allemagne;2017;0
Andorre;2017;0
Angola;2017;5800000
Antigua-et-Barbuda;2017;0
Arabie saoudite;2017;1600000
Argentine;2017;1500000
Arménie;2017;100000
Australie;2017;0
Autriche;2017;0
Azerbaïdjan;2017;0
Bahamas;2017;0
Bahreïn;2017;0
Bangladesh;2017;21500000
Barbade;2017;100000
Bélarus;2017;0
Belgique;2017;0
Belize;2017;100000
Bénin;2017;800000
Bermudes;2017;0
Bhoutan;2017;0
Bolivie (Etat plurinational de);2017;1700000
Bosnie-Herzégovine;2017;0
Botswana;2017;500000
Brésil;2017;0
Brunéi Darussalam;2017;0
Bulgarie;2017;200000
Burkina Faso;2017;3600000
Burundi;2017;0
Cabo Verde;2017;100000
Cambodge;2017;2400000
Cameroun;2017;1600000
Canada;2017;0
Chili;2017;600000
Chine - RAS de Hong-Kong;2017;0
Chine - RAS de Macao;2017;100000
Chine -  continentale;2017;0
Chine - Taiwan Province de;2017;900000
Chypre;2017;100000
Colombie;2017;2700000
Comores;2017;0
Congo;2017;1400000
Costa Rica;2017;200000
Côte d'Ivoire;2017;4900000
Croatie;2017;0
Cuba;2017;0
Danemark;2017;0
Djibouti;2017;0
Dominique;2017;100000
égypte;2017;4600000
El Salvador;2017;600000
émirats arabes unis;2017;300000
équateur;2017;1500000
érythrée;2017;0
Espagne;2017;0
Estonie;2017;0
Eswatini;2017;200000
états-Unis d'Amérique;2017;0
éthiopie;2017;21100000
Fédération de Russie;2017;0
Fidji;2017;100000
Finlande;2017;0
France;2017;0
Gabon;2017;300000
Gambie;2017;300000
Géorgie;2017;300000
Ghana;2017;2000000
Grèce;2017;0
Grenade;2017;0
Groenland;2017;0
Guatemala;2017;2700000
Guinée;2017;0
Guinée équatoriale;2017;0
Guinée-Bissau;2017;0
Guyana;2017;100000
Haïti;2017;5300000
Honduras;2017;1300000
Hongrie;2017;0
îles Cook;2017;0
îles Marshall;2017;0
îles Salomon;2017;100000
Inde;2017;190100000
Indonésie;2017;23600000
Iran (République islamique d');2017;3900000
Iraq;2017;9000000
Irlande;2017;0
Islande;2017;0
Israël;2017;0
Italie;2017;0
Jamaïque;2017;300000
Japon;2017;0
Jordanie;2017;800000
Kazakhstan;2017;0
Kenya;2017;11900000
Kirghizistan;2017;400000
Kiribati;2017;100000
Koweït;2017;0
Lesotho;2017;800000
Lettonie;2017;0
Liban;2017;400000
Libéria;2017;1800000
Libye;2017;0
Lituanie;2017;0
Luxembourg;2017;0
Macédoine du Nord;2017;100000
Madagascar;2017;10500000
Malaisie;2017;1000000
Malawi;2017;3300000
Maldives;2017;0
Mali;2017;1000000
Malte;2017;0
Maroc;2017;1400000
Maurice;2017;100000
Mauritanie;2017;500000
Mexique;2017;8400000
Micronésie (états fédérés de);2017;0
Mongolie;2017;600000
Monténégro;2017;0
Mozambique;2017;9400000
Myanmar;2017;7300000
Namibie;2017;300000
Nauru;2017;0
Népal;2017;1700000
Nicaragua;2017;1100000
Niger;2017;0
Nigéria;2017;22800000
Nioué;2017;0
Norvège;2017;0
Nouvelle-Calédonie;2017;100000
Nouvelle-Zélande;2017;0
Oman;2017;400000
Ouganda;2017;0
Ouzbékistan;2017;900000
Pakistan;2017;24800000
Palaos;2017;0
Palestine;2017;0
Panama;2017;300000
Papouasie-Nouvelle-Guinée;2017;0
Paraguay;2017;600000
Pays-Bas;2017;0
Pérou;2017;2200000
Philippines;2017;15700000
Pologne;2017;0
Polynésie française;2017;100000
Porto Rico;2017;0
Portugal;2017;0
Qatar;2017;0
République arabe syrienne;2017;0
République centrafricaine;2017;0
République de Corée;2017;0
République de Moldova;2017;0
République démocratique du Congo;2017;0
République démocratique populaire lao;2017;0
République dominicaine;2017;600000
République populaire démocratique de Corée;2017;12000000
République-Unie de Tanzanie;2017;13400000
Roumanie;2017;0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;2017;0
Rwanda;2017;4200000
Sainte-Lucie;2017;0
Saint-Kitts-et-Nevis;2017;0
Saint-Vincent-et-les Grenadines;2017;100000
Samoa;2017;0
Samoa américaines;2017;0
Sao Tomé-et-Principe;2017;100000
Sénégal;2017;1500000
Serbie;2017;400000
Seychelles;2017;0
Sierra Leone;2017;2000000
Singapour;2017;0
Slovaquie;2017;300000
Slovénie;2017;0
Somalie;2017;0
Soudan;2017;5000000
Soudan du Sud;2017;0
Sri Lanka;2017;1600000
Suède;2017;0
Suisse;2017;0
Suriname;2017;100000
Tadjikistan;2017;0
Tchad;2017;5700000
Tchéquie;2017;0
Thaïlande;2017;6200000
Timor-Leste;2017;400000
Togo;2017;1600000
Tokélaou;2017;0
Tonga;2017;0
Trinité-et-Tobago;2017;100000
Tunisie;2017;0
Turkménistan;2017;200000
Turquie;2017;0
Tuvalu;2017;0
Ukraine;2017;1500000
Uruguay;2017;0
Vanuatu;2017;100000
Venezuela (République bolivarienne du);2017;8000000
Viet Nam;2017;6500000
Yémen;2017;0
Zambie;2017;0
Zimbabwe;2017;0
